condition,n_trials,A,sigma,peak_bias,r2
Overall,886,0.019999999999999997,107.17154570361969,1.3000565663607815,-0.12400190604502215
Color Task,479,0.01247028605029881,39.6881467217365,0.30018569616446733,-2.1253735227561683
Orientation Task,407,0.019999999999999997,119.99999999999999,1.4556735833103198,0.07974412981580947
Active Retrieval,466,0.019999999999999987,119.99999994376961,1.4556735826282101,0.09702459480673653
Passive Retrieval,420,0.019999999999999997,96.30264765032766,1.1682101682285302,-0.42555849718982164
CC (Color→Color),89,0.019999999999999997,67.60445455598091,0.8200834884270368,-0.7698459775801147
AA (Active→Active),232,0.019999999999999997,119.99999999999999,1.4556735833103198,-0.0030549475866756826
AC (Active→Color),124,0.019999999999954637,26.23968437914224,0.3183034615419265,-1.024676893784858
CA (Color→Active),124,0.01999999999543309,24.3071969258035,0.2948612036761196,-0.014521277343761518
